# Matched configuration lines - 2025-05-23T17:30:12.725805
# Total matched: 815

Backup          | backup: enabled
CircuitBreaker  | error_rate_threshold: 0.8775025520076157
CircuitBreaker  | error_rate_threshold: 0.8784825549072056
CircuitBreaker  | error_rate_threshold: 0.8803961482428904
CircuitBreaker  | error_rate_threshold: 0.8806539814996581
CircuitBreaker  | error_rate_threshold: 0.8810205800931294
CircuitBreaker  | error_rate_threshold: 0.8837057495024391
CircuitBreaker  | error_rate_threshold: 0.886265947113034
CircuitBreaker  | error_rate_threshold: 0.8870366769286933
CircuitBreaker  | error_rate_threshold: 0.8908734526995588
CircuitBreaker  | error_rate_threshold: 0.8960691865465693
CircuitBreaker  | error_rate_threshold: 0.8977399719980721
CircuitBreaker  | error_rate_threshold: 0.8995340130889635
CircuitBreaker  | error_rate_threshold: 0.8995854184711712
CircuitBreaker  | failure_threshold: 5
LoadBalance     | health_check_interval: 30s
LoadBalance     | health_check_interval: 5s
Monitor         | log_level: info
Retry           | max_retries: 3
ResourceLimit   | memory_limit: 1GB
ResourceLimit   | memory_limit: 256MB
Throttle        | memory_throttling: enabled
Monitor         | metrics: enabled
Throttle        | rate_limit: 100
Timeout         | recovery_timeout: 60s
Replicate       | replicas: 2
Replicate       | replicas: 5
Retry           | retry_policy: exponential_backoff
ServiceConfig   | service_name: api-backend
ServiceConfig   | service_name: api-gateway
ServiceConfig   | service_name: auth-service
ServiceConfig   | service_name: batch-processing-queue
ServiceConfig   | service_name: load-balancer
ServiceConfig   | service_name: mongodb-shard
ServiceConfig   | service_name: mysql-primary
ServiceConfig   | service_name: nginx-proxy
ServiceConfig   | service_name: notification-queue
ServiceConfig   | service_name: notification-service
ServiceConfig   | service_name: payment-queue
ServiceConfig   | service_name: payment-service
ServiceConfig   | service_name: postgres-replica
ServiceConfig   | service_name: redis-cache
ServiceConfig   | service_name: subnet-private
ServiceConfig   | service_name: user-service
ServiceConfig   | service_name: vpc-main
ServiceConfig   | service_name: web-frontend
ServiceConfig   | service_name: worker-consumer
Throttle        | throttle: enabled
Timeout         | timeout: 101s
Timeout         | timeout: 102s
Timeout         | timeout: 103s
Timeout         | timeout: 104s
Timeout         | timeout: 105s
Timeout         | timeout: 108s
Timeout         | timeout: 109s
Timeout         | timeout: 110s
Timeout         | timeout: 111s
Timeout         | timeout: 112s
Timeout         | timeout: 113s
Timeout         | timeout: 114s
Timeout         | timeout: 117s
Timeout         | timeout: 118s
Timeout         | timeout: 120s
Timeout         | timeout: 121s
Timeout         | timeout: 122s
Timeout         | timeout: 125s
Timeout         | timeout: 126s
Timeout         | timeout: 127s
Timeout         | timeout: 129s
Timeout         | timeout: 133s
Timeout         | timeout: 134s
Timeout         | timeout: 137s
Timeout         | timeout: 138s
Timeout         | timeout: 139s
Timeout         | timeout: 141s
Timeout         | timeout: 142s
Timeout         | timeout: 143s
Timeout         | timeout: 144s
Timeout         | timeout: 145s
Timeout         | timeout: 147s
Timeout         | timeout: 148s
Timeout         | timeout: 149s
Timeout         | timeout: 150s
Timeout         | timeout: 151s
Timeout         | timeout: 152s
Timeout         | timeout: 153s
Timeout         | timeout: 154s
Timeout         | timeout: 155s
Timeout         | timeout: 156s
Timeout         | timeout: 157s
Timeout         | timeout: 159s
Timeout         | timeout: 160s
Timeout         | timeout: 161s
Timeout         | timeout: 162s
Timeout         | timeout: 163s
Timeout         | timeout: 164s
Timeout         | timeout: 165s
Timeout         | timeout: 166s
Timeout         | timeout: 167s
Timeout         | timeout: 168s
Timeout         | timeout: 169s
Timeout         | timeout: 170s
Timeout         | timeout: 171s
Timeout         | timeout: 173s
Timeout         | timeout: 174s
Timeout         | timeout: 175s
Timeout         | timeout: 176s
Timeout         | timeout: 178s
Timeout         | timeout: 180s
Timeout         | timeout: 181s
Timeout         | timeout: 182s
Timeout         | timeout: 183s
Timeout         | timeout: 185s
Timeout         | timeout: 186s
Timeout         | timeout: 187s
Timeout         | timeout: 188s
Timeout         | timeout: 189s
Timeout         | timeout: 190s
Timeout         | timeout: 192s
Timeout         | timeout: 194s
Timeout         | timeout: 195s
Timeout         | timeout: 196s
Timeout         | timeout: 198s
Timeout         | timeout: 199s
Timeout         | timeout: 200s
Timeout         | timeout: 201s
Timeout         | timeout: 202s
Timeout         | timeout: 203s
Timeout         | timeout: 204s
Timeout         | timeout: 206s
Timeout         | timeout: 207s
Timeout         | timeout: 208s
Timeout         | timeout: 210s
Timeout         | timeout: 211s
Timeout         | timeout: 212s
Timeout         | timeout: 214s
Timeout         | timeout: 215s
Timeout         | timeout: 216s
Timeout         | timeout: 217s
Timeout         | timeout: 218s
Timeout         | timeout: 221s
Timeout         | timeout: 222s
Timeout         | timeout: 223s
Timeout         | timeout: 224s
Timeout         | timeout: 225s
Timeout         | timeout: 226s
Timeout         | timeout: 229s
Timeout         | timeout: 230s
Timeout         | timeout: 231s
Timeout         | timeout: 232s
Timeout         | timeout: 233s
Timeout         | timeout: 234s
Timeout         | timeout: 235s
Timeout         | timeout: 236s
Timeout         | timeout: 238s
Timeout         | timeout: 239s
Timeout         | timeout: 240s
Timeout         | timeout: 241s
Timeout         | timeout: 242s
Timeout         | timeout: 243s
Timeout         | timeout: 245s
Timeout         | timeout: 249s
Timeout         | timeout: 250s
Timeout         | timeout: 252s
Timeout         | timeout: 253s
Timeout         | timeout: 254s
Timeout         | timeout: 255s
Timeout         | timeout: 256s
Timeout         | timeout: 258s
Timeout         | timeout: 259s
Timeout         | timeout: 260s
Timeout         | timeout: 261s
Timeout         | timeout: 263s
Timeout         | timeout: 264s
Timeout         | timeout: 266s
Timeout         | timeout: 267s
Timeout         | timeout: 268s
Timeout         | timeout: 269s
Timeout         | timeout: 270s
Timeout         | timeout: 271s
Timeout         | timeout: 272s
Timeout         | timeout: 274s
Timeout         | timeout: 275s
Timeout         | timeout: 276s
Timeout         | timeout: 279s
Timeout         | timeout: 281s
Timeout         | timeout: 282s
Timeout         | timeout: 285s
Timeout         | timeout: 287s
Timeout         | timeout: 288s
Timeout         | timeout: 289s
Timeout         | timeout: 290s
Timeout         | timeout: 291s
Timeout         | timeout: 292s
Timeout         | timeout: 293s
Timeout         | timeout: 294s
Timeout         | timeout: 295s
Timeout         | timeout: 296s
Timeout         | timeout: 297s
Timeout         | timeout: 298s
Timeout         | timeout: 299s
Timeout         | timeout: 300s
Timeout         | timeout: 30s
Timeout         | timeout: 31s
Timeout         | timeout: 34s
Timeout         | timeout: 35s
Timeout         | timeout: 36s
Timeout         | timeout: 37s
Timeout         | timeout: 39s
Timeout         | timeout: 40s
Timeout         | timeout: 41s
Timeout         | timeout: 42s
Timeout         | timeout: 46s
Timeout         | timeout: 52s
Timeout         | timeout: 53s
Timeout         | timeout: 54s
Timeout         | timeout: 55s
Timeout         | timeout: 56s
Timeout         | timeout: 57s
Timeout         | timeout: 58s
Timeout         | timeout: 62s
Timeout         | timeout: 63s
Timeout         | timeout: 64s
Timeout         | timeout: 66s
Timeout         | timeout: 67s
Timeout         | timeout: 69s
Timeout         | timeout: 71s
Timeout         | timeout: 72s
Timeout         | timeout: 73s
Timeout         | timeout: 74s
Timeout         | timeout: 76s
Timeout         | timeout: 78s
Timeout         | timeout: 80s
Timeout         | timeout: 81s
Timeout         | timeout: 82s
Timeout         | timeout: 83s
Timeout         | timeout: 84s
Timeout         | timeout: 85s
Timeout         | timeout: 86s
Timeout         | timeout: 87s
Timeout         | timeout: 88s
Timeout         | timeout: 89s
Timeout         | timeout: 91s
Timeout         | timeout: 93s
Timeout         | timeout: 94s
Timeout         | timeout: 95s
Timeout         | timeout: 96s
Timeout         | timeout: 98s
Timeout         | timeout: 99s
