# Matched configuration lines - 2025-05-23T18:45:30.029886
# Total matched: 3461

SecurityPolicy  | auth_required: enabled
CircuitBreaker  | error_rate_threshold: 0.4874369164643514
CircuitBreaker  | error_rate_threshold: 0.4875470925671417
CircuitBreaker  | error_rate_threshold: 0.4897177655036502
CircuitBreaker  | error_rate_threshold: 0.49072681211848623
CircuitBreaker  | error_rate_threshold: 0.4909594281552603
CircuitBreaker  | error_rate_threshold: 0.49098677801985946
CircuitBreaker  | error_rate_threshold: 0.4920973670000298
CircuitBreaker  | error_rate_threshold: 0.4945618611799041
CircuitBreaker  | error_rate_threshold: 0.496321030714277
CircuitBreaker  | error_rate_threshold: 0.49681487837910077
CircuitBreaker  | error_rate_threshold: 0.49786423920731293
CircuitBreaker  | error_rate_threshold: 0.4990208804286457
CircuitBreaker  | error_rate_threshold: 0.49981601761733274
CircuitBreaker  | error_rate_threshold: 0.5007039583516574
CircuitBreaker  | error_rate_threshold: 0.5037967916869531
CircuitBreaker  | error_rate_threshold: 0.5053034805475022
CircuitBreaker  | error_rate_threshold: 0.5071968071854157
CircuitBreaker  | error_rate_threshold: 0.5103370101470791
CircuitBreaker  | error_rate_threshold: 0.5118299323316767
CircuitBreaker  | error_rate_threshold: 0.5125470691026934
CircuitBreaker  | error_rate_threshold: 0.51305166077758
CircuitBreaker  | error_rate_threshold: 0.515357188641849
CircuitBreaker  | error_rate_threshold: 0.5157072391670809
CircuitBreaker  | error_rate_threshold: 0.516106884374275
CircuitBreaker  | error_rate_threshold: 0.5168844720424831
CircuitBreaker  | error_rate_threshold: 0.5173201217929392
CircuitBreaker  | error_rate_threshold: 0.5180535306043147
CircuitBreaker  | error_rate_threshold: 0.519005339220865
CircuitBreaker  | error_rate_threshold: 0.5193651051992888
CircuitBreaker  | error_rate_threshold: 0.5202545120128675
CircuitBreaker  | error_rate_threshold: 0.5240322455738982
CircuitBreaker  | error_rate_threshold: 0.5264554300690752
CircuitBreaker  | error_rate_threshold: 0.5264976770256696
CircuitBreaker  | error_rate_threshold: 0.5265045457095964
CircuitBreaker  | error_rate_threshold: 0.528935779996511
CircuitBreaker  | error_rate_threshold: 0.5294301206716312
CircuitBreaker  | error_rate_threshold: 0.5316121455938922
CircuitBreaker  | error_rate_threshold: 0.532353992219596
CircuitBreaker  | error_rate_threshold: 0.5323551312766536
CircuitBreaker  | error_rate_threshold: 0.5345747722211623
CircuitBreaker  | error_rate_threshold: 0.5348035155143122
CircuitBreaker  | error_rate_threshold: 0.5356595170387289
CircuitBreaker  | error_rate_threshold: 0.5357463325244832
CircuitBreaker  | error_rate_threshold: 0.5366688627186978
CircuitBreaker  | error_rate_threshold: 0.5378146537696383
CircuitBreaker  | error_rate_threshold: 0.5391003284914827
CircuitBreaker  | error_rate_threshold: 0.5428176098218895
CircuitBreaker  | error_rate_threshold: 0.5458167280389014
CircuitBreaker  | error_rate_threshold: 0.5467102133860472
CircuitBreaker  | error_rate_threshold: 0.5492900428797495
CircuitBreaker  | error_rate_threshold: 0.5499674472520389
CircuitBreaker  | error_rate_threshold: 0.5510215387771557
CircuitBreaker  | error_rate_threshold: 0.5513930187246084
CircuitBreaker  | error_rate_threshold: 0.5516063680303597
CircuitBreaker  | error_rate_threshold: 0.5520575258751909
CircuitBreaker  | error_rate_threshold: 0.5531647010024292
CircuitBreaker  | error_rate_threshold: 0.5560193007112159
CircuitBreaker  | error_rate_threshold: 0.5624673723743342
CircuitBreaker  | error_rate_threshold: 0.5639574714401471
CircuitBreaker  | error_rate_threshold: 0.5643221706797956
CircuitBreaker  | error_rate_threshold: 0.5645127358062662
CircuitBreaker  | error_rate_threshold: 0.5650447883276458
CircuitBreaker  | error_rate_threshold: 0.5680549546916229
CircuitBreaker  | error_rate_threshold: 0.5683062715545352
CircuitBreaker  | error_rate_threshold: 0.5689833989741355
CircuitBreaker  | error_rate_threshold: 0.5690304467295418
CircuitBreaker  | error_rate_threshold: 0.5708818934446701
CircuitBreaker  | error_rate_threshold: 0.5715235911810785
CircuitBreaker  | error_rate_threshold: 0.5736484662256357
CircuitBreaker  | error_rate_threshold: 0.5749086046546094
CircuitBreaker  | error_rate_threshold: 0.575134237249815
CircuitBreaker  | error_rate_threshold: 0.5756990615685608
CircuitBreaker  | error_rate_threshold: 0.5780840491878609
CircuitBreaker  | error_rate_threshold: 0.5797652817338498
CircuitBreaker  | error_rate_threshold: 0.5806803738658749
CircuitBreaker  | error_rate_threshold: 0.5821975020206174
CircuitBreaker  | error_rate_threshold: 0.5841795263224775
CircuitBreaker  | error_rate_threshold: 0.5858419019537446
CircuitBreaker  | error_rate_threshold: 0.5862136360897224
CircuitBreaker  | error_rate_threshold: 0.5898603505163684
CircuitBreaker  | error_rate_threshold: 0.5904076575897255
CircuitBreaker  | error_rate_threshold: 0.5905598270130642
CircuitBreaker  | error_rate_threshold: 0.5911143326908171
CircuitBreaker  | error_rate_threshold: 0.591289533314487
CircuitBreaker  | error_rate_threshold: 0.5922477663049562
CircuitBreaker  | error_rate_threshold: 0.5942770091845556
CircuitBreaker  | error_rate_threshold: 0.5946572838239538
CircuitBreaker  | error_rate_threshold: 0.5983587660704263
CircuitBreaker  | error_rate_threshold: 0.6005415701124006
CircuitBreaker  | error_rate_threshold: 0.6041122781158182
CircuitBreaker  | error_rate_threshold: 0.6041912923914043
CircuitBreaker  | error_rate_threshold: 0.6052814841948626
CircuitBreaker  | error_rate_threshold: 0.6054601730403576
CircuitBreaker  | error_rate_threshold: 0.6107100241669591
CircuitBreaker  | error_rate_threshold: 0.6125905374353359
CircuitBreaker  | error_rate_threshold: 0.6128348671767074
CircuitBreaker  | error_rate_threshold: 0.613024007531512
CircuitBreaker  | error_rate_threshold: 0.6131687619328661
CircuitBreaker  | error_rate_threshold: 0.6137863676360986
CircuitBreaker  | error_rate_threshold: 0.615087337984422
CircuitBreaker  | error_rate_threshold: 0.6200719612689267
CircuitBreaker  | error_rate_threshold: 0.6205918592662656
CircuitBreaker  | error_rate_threshold: 0.6241507248967987
CircuitBreaker  | error_rate_threshold: 0.625973322484102
CircuitBreaker  | error_rate_threshold: 0.6260318138989244
CircuitBreaker  | error_rate_threshold: 0.6271640013254447
CircuitBreaker  | error_rate_threshold: 0.6289102215311855
CircuitBreaker  | error_rate_threshold: 0.6291793752972463
CircuitBreaker  | error_rate_threshold: 0.6318610190952343
CircuitBreaker  | error_rate_threshold: 0.6336563044242712
CircuitBreaker  | error_rate_threshold: 0.6361723723899185
CircuitBreaker  | error_rate_threshold: 0.6371159854407581
CircuitBreaker  | error_rate_threshold: 0.6377512003195464
CircuitBreaker  | error_rate_threshold: 0.6500555469430733
CircuitBreaker  | error_rate_threshold: 0.6500730440593709
CircuitBreaker  | error_rate_threshold: 0.6511164986648704
CircuitBreaker  | error_rate_threshold: 0.6515352739975562
CircuitBreaker  | error_rate_threshold: 0.6546608760367947
CircuitBreaker  | error_rate_threshold: 0.6548981671227779
CircuitBreaker  | error_rate_threshold: 0.6549847664668917
CircuitBreaker  | error_rate_threshold: 0.6549887855851335
CircuitBreaker  | error_rate_threshold: 0.6563982724157541
CircuitBreaker  | error_rate_threshold: 0.6569908373118988
CircuitBreaker  | error_rate_threshold: 0.6590454208422347
CircuitBreaker  | error_rate_threshold: 0.6591941674245729
CircuitBreaker  | error_rate_threshold: 0.6595504920469669
CircuitBreaker  | error_rate_threshold: 0.6598549118258273
CircuitBreaker  | error_rate_threshold: 0.6603859998602691
CircuitBreaker  | error_rate_threshold: 0.6606859634049563
CircuitBreaker  | error_rate_threshold: 0.6619999135895777
CircuitBreaker  | error_rate_threshold: 0.6632043210781786
CircuitBreaker  | error_rate_threshold: 0.6643538242939387
CircuitBreaker  | error_rate_threshold: 0.6643891433242356
CircuitBreaker  | error_rate_threshold: 0.6646325136489415
CircuitBreaker  | error_rate_threshold: 0.6662076130214423
CircuitBreaker  | error_rate_threshold: 0.6674053189991744
CircuitBreaker  | error_rate_threshold: 0.6680194865428328
CircuitBreaker  | error_rate_threshold: 0.6680946267689466
CircuitBreaker  | error_rate_threshold: 0.6714155261140623
CircuitBreaker  | error_rate_threshold: 0.6726187663317471
CircuitBreaker  | error_rate_threshold: 0.6730451103174587
CircuitBreaker  | error_rate_threshold: 0.6741580999041648
CircuitBreaker  | error_rate_threshold: 0.6766190049588466
CircuitBreaker  | error_rate_threshold: 0.67671028332844
CircuitBreaker  | error_rate_threshold: 0.6769407571231797
CircuitBreaker  | error_rate_threshold: 0.6771735717206149
CircuitBreaker  | error_rate_threshold: 0.6772163700100183
CircuitBreaker  | error_rate_threshold: 0.6786543884280614
CircuitBreaker  | error_rate_threshold: 0.6788607738704473
CircuitBreaker  | error_rate_threshold: 0.6796310287336282
CircuitBreaker  | error_rate_threshold: 0.6797933894298345
CircuitBreaker  | error_rate_threshold: 0.6864157888265611
CircuitBreaker  | error_rate_threshold: 0.6883749544907036
CircuitBreaker  | error_rate_threshold: 0.689101551076556
CircuitBreaker  | error_rate_threshold: 0.6901147291237125
CircuitBreaker  | error_rate_threshold: 0.6945459731602712
CircuitBreaker  | error_rate_threshold: 0.6986281589295527
CircuitBreaker  | error_rate_threshold: 0.6997188791784722
CircuitBreaker  | error_rate_threshold: 0.6999151625250413
CircuitBreaker  | error_rate_threshold: 0.7008472416752196
CircuitBreaker  | error_rate_threshold: 0.7030167731765878
CircuitBreaker  | error_rate_threshold: 0.7035515075154786
CircuitBreaker  | error_rate_threshold: 0.7072941414711232
CircuitBreaker  | error_rate_threshold: 0.7092087462021802
CircuitBreaker  | error_rate_threshold: 0.7096110131967838
CircuitBreaker  | error_rate_threshold: 0.7110580314068622
CircuitBreaker  | error_rate_threshold: 0.7111619734885545
CircuitBreaker  | error_rate_threshold: 0.7125074662461781
CircuitBreaker  | error_rate_threshold: 0.7172211480604317
CircuitBreaker  | error_rate_threshold: 0.7174924671187777
CircuitBreaker  | error_rate_threshold: 0.7187840624989114
CircuitBreaker  | error_rate_threshold: 0.7193048509737496
CircuitBreaker  | error_rate_threshold: 0.7203198581963449
CircuitBreaker  | error_rate_threshold: 0.7205186461323496
CircuitBreaker  | error_rate_threshold: 0.7220067200780591
CircuitBreaker  | error_rate_threshold: 0.7246523764754855
CircuitBreaker  | error_rate_threshold: 0.7267862152744549
CircuitBreaker  | error_rate_threshold: 0.7268404538675046
CircuitBreaker  | error_rate_threshold: 0.7280783307882173
CircuitBreaker  | error_rate_threshold: 0.7286124031118291
CircuitBreaker  | error_rate_threshold: 0.7296798232996212
CircuitBreaker  | error_rate_threshold: 0.7304354110029515
CircuitBreaker  | error_rate_threshold: 0.7341129440622424
CircuitBreaker  | error_rate_threshold: 0.7341558893088941
CircuitBreaker  | error_rate_threshold: 0.73600108363632
CircuitBreaker  | error_rate_threshold: 0.7397892785984677
CircuitBreaker  | error_rate_threshold: 0.740187968159486
CircuitBreaker  | error_rate_threshold: 0.7409609369909602
CircuitBreaker  | error_rate_threshold: 0.7411320390358663
CircuitBreaker  | error_rate_threshold: 0.7418511419311871
CircuitBreaker  | error_rate_threshold: 0.7419740607972356
CircuitBreaker  | error_rate_threshold: 0.7420784067215082
CircuitBreaker  | error_rate_threshold: 0.7446262374620387
CircuitBreaker  | error_rate_threshold: 0.7456593402347264
CircuitBreaker  | error_rate_threshold: 0.7477465316739235
CircuitBreaker  | error_rate_threshold: 0.7479114215290666
CircuitBreaker  | error_rate_threshold: 0.7479950685359759
CircuitBreaker  | error_rate_threshold: 0.7501152480238708
CircuitBreaker  | error_rate_threshold: 0.7505550879259814
CircuitBreaker  | error_rate_threshold: 0.7506749133752962
CircuitBreaker  | error_rate_threshold: 0.7518070953536776
CircuitBreaker  | error_rate_threshold: 0.7542773848034714
CircuitBreaker  | error_rate_threshold: 0.7547676092444146
CircuitBreaker  | error_rate_threshold: 0.7554324510134619
CircuitBreaker  | error_rate_threshold: 0.7561745758635025
CircuitBreaker  | error_rate_threshold: 0.7565697508589955
CircuitBreaker  | error_rate_threshold: 0.75722075744331
CircuitBreaker  | error_rate_threshold: 0.7604999088658446
CircuitBreaker  | error_rate_threshold: 0.7610819929321799
CircuitBreaker  | error_rate_threshold: 0.7651838381442865
CircuitBreaker  | error_rate_threshold: 0.765301773245603
CircuitBreaker  | error_rate_threshold: 0.7668096214667597
CircuitBreaker  | error_rate_threshold: 0.7671879456696954
CircuitBreaker  | error_rate_threshold: 0.7678702317029925
CircuitBreaker  | error_rate_threshold: 0.7692480508661771
CircuitBreaker  | error_rate_threshold: 0.77046347336664
CircuitBreaker  | error_rate_threshold: 0.7733071870686904
CircuitBreaker  | error_rate_threshold: 0.7744860563847915
CircuitBreaker  | error_rate_threshold: 0.7748616941419495
CircuitBreaker  | error_rate_threshold: 0.7751767352448556
CircuitBreaker  | error_rate_threshold: 0.7756049838265441
CircuitBreaker  | error_rate_threshold: 0.7777453603807601
CircuitBreaker  | error_rate_threshold: 0.7778754312270401
CircuitBreaker  | error_rate_threshold: 0.7779311763978048
CircuitBreaker  | error_rate_threshold: 0.7789365000048836
CircuitBreaker  | error_rate_threshold: 0.7796334826871638
CircuitBreaker  | error_rate_threshold: 0.7807142427566317
CircuitBreaker  | error_rate_threshold: 0.780886257971129
CircuitBreaker  | error_rate_threshold: 0.7835095015009762
CircuitBreaker  | error_rate_threshold: 0.7840154614665248
CircuitBreaker  | error_rate_threshold: 0.7888684422414007
CircuitBreaker  | error_rate_threshold: 0.7895718595146262
CircuitBreaker  | error_rate_threshold: 0.7896542949652349
CircuitBreaker  | error_rate_threshold: 0.7899865965735796
CircuitBreaker  | error_rate_threshold: 0.7926495801547943
CircuitBreaker  | error_rate_threshold: 0.7931878405187616
CircuitBreaker  | error_rate_threshold: 0.7932055443953998
CircuitBreaker  | error_rate_threshold: 0.7939140872653491
CircuitBreaker  | error_rate_threshold: 0.795862132768424
CircuitBreaker  | error_rate_threshold: 0.7971642263988467
CircuitBreaker  | error_rate_threshold: 0.7992015117043917
CircuitBreaker  | error_rate_threshold: 0.8021210870146144
CircuitBreaker  | error_rate_threshold: 0.8027447956281569
CircuitBreaker  | error_rate_threshold: 0.8027776683406784
CircuitBreaker  | error_rate_threshold: 0.805935401789885
CircuitBreaker  | error_rate_threshold: 0.8065218504117687
CircuitBreaker  | error_rate_threshold: 0.8099847100610827
CircuitBreaker  | error_rate_threshold: 0.8154663460474537
CircuitBreaker  | error_rate_threshold: 0.8165820611818957
CircuitBreaker  | error_rate_threshold: 0.8171941508200719
CircuitBreaker  | error_rate_threshold: 0.8178627158416094
CircuitBreaker  | error_rate_threshold: 0.818290850393688
CircuitBreaker  | error_rate_threshold: 0.8191158530924271
CircuitBreaker  | error_rate_threshold: 0.8196822529525264
CircuitBreaker  | error_rate_threshold: 0.8197376402283861
CircuitBreaker  | error_rate_threshold: 0.8214075523972453
CircuitBreaker  | error_rate_threshold: 0.8221654237489522
CircuitBreaker  | error_rate_threshold: 0.8224571339689429
CircuitBreaker  | error_rate_threshold: 0.8225278324278168
CircuitBreaker  | error_rate_threshold: 0.8228589790262394
CircuitBreaker  | error_rate_threshold: 0.8249303984162027
CircuitBreaker  | error_rate_threshold: 0.8296226569550869
CircuitBreaker  | error_rate_threshold: 0.8309489190008853
CircuitBreaker  | error_rate_threshold: 0.8341151873698979
CircuitBreaker  | error_rate_threshold: 0.8341265995219088
CircuitBreaker  | error_rate_threshold: 0.8356757285180311
CircuitBreaker  | error_rate_threshold: 0.8363322191147584
CircuitBreaker  | error_rate_threshold: 0.838604347057523
CircuitBreaker  | error_rate_threshold: 0.8394150740194244
CircuitBreaker  | error_rate_threshold: 0.8405712851426905
CircuitBreaker  | error_rate_threshold: 0.8419039185371524
CircuitBreaker  | error_rate_threshold: 0.8420097744621385
CircuitBreaker  | error_rate_threshold: 0.843265350708326
CircuitBreaker  | error_rate_threshold: 0.8438896112113199
CircuitBreaker  | error_rate_threshold: 0.844537094136703
CircuitBreaker  | error_rate_threshold: 0.845963638872275
CircuitBreaker  | error_rate_threshold: 0.8470417076787149
CircuitBreaker  | error_rate_threshold: 0.8509064248420694
CircuitBreaker  | error_rate_threshold: 0.851655053258852
CircuitBreaker  | error_rate_threshold: 0.851666745118571
CircuitBreaker  | error_rate_threshold: 0.8521021838951567
CircuitBreaker  | error_rate_threshold: 0.852475148211638
CircuitBreaker  | error_rate_threshold: 0.8533276202194985
CircuitBreaker  | error_rate_threshold: 0.8540903409580577
CircuitBreaker  | error_rate_threshold: 0.8564618478536552
CircuitBreaker  | error_rate_threshold: 0.8565424707866482
CircuitBreaker  | error_rate_threshold: 0.8567363883310117
CircuitBreaker  | error_rate_threshold: 0.8583929406560269
CircuitBreaker  | error_rate_threshold: 0.8595886280034305
CircuitBreaker  | error_rate_threshold: 0.8597770576033951
CircuitBreaker  | error_rate_threshold: 0.8622281398498276
CircuitBreaker  | error_rate_threshold: 0.862278687482929
CircuitBreaker  | error_rate_threshold: 0.862683619981114
CircuitBreaker  | error_rate_threshold: 0.8631351921751932
CircuitBreaker  | error_rate_threshold: 0.8651987379941612
CircuitBreaker  | error_rate_threshold: 0.8655901103022713
CircuitBreaker  | error_rate_threshold: 0.866421236765573
CircuitBreaker  | error_rate_threshold: 0.8682773187409797
CircuitBreaker  | error_rate_threshold: 0.8689777690811499
CircuitBreaker  | error_rate_threshold: 0.8691323371333085
CircuitBreaker  | error_rate_threshold: 0.8695571752799974
CircuitBreaker  | error_rate_threshold: 0.8722604168625445
CircuitBreaker  | error_rate_threshold: 0.8725907770658706
CircuitBreaker  | error_rate_threshold: 0.8729638738271642
CircuitBreaker  | error_rate_threshold: 0.873839118420476
CircuitBreaker  | error_rate_threshold: 0.8747957270546461
CircuitBreaker  | error_rate_threshold: 0.8767091401434987
CircuitBreaker  | error_rate_threshold: 0.8832510053026343
CircuitBreaker  | error_rate_threshold: 0.8846246375836054
CircuitBreaker  | error_rate_threshold: 0.8850020230767415
CircuitBreaker  | error_rate_threshold: 0.8865342314173613
CircuitBreaker  | error_rate_threshold: 0.8887881047626472
CircuitBreaker  | error_rate_threshold: 0.8911570985494909
CircuitBreaker  | error_rate_threshold: 0.8945916346390346
CircuitBreaker  | error_rate_threshold: 0.8959885154577256
CircuitBreaker  | error_rate_threshold: 0.896131443393246
CircuitBreaker  | error_rate_threshold: 0.8980452120248693
ServiceConfig   | failure.context: api-backend_failure
ServiceConfig   | failure.context: api-gateway_timeout
ServiceConfig   | failure.context: auth-service_degradation
ServiceConfig   | failure.context: auth-service_failure
ServiceConfig   | failure.context: auth-service_timeout
ServiceConfig   | failure.context: batch-processing-queue_timeout
ServiceConfig   | failure.context: load-balancer_timeout
ServiceConfig   | failure.context: mongodb-shard_timeout
ServiceConfig   | failure.context: mysql-primary_timeout
ServiceConfig   | failure.context: nginx-proxy_failure
ServiceConfig   | failure.context: notification-queue_timeout
ServiceConfig   | failure.context: notification-service_degradation
ServiceConfig   | failure.context: notification-service_failure
ServiceConfig   | failure.context: notification-service_timeout
ServiceConfig   | failure.context: payment-queue_timeout
ServiceConfig   | failure.context: payment-service_degradation
ServiceConfig   | failure.context: payment-service_failure
ServiceConfig   | failure.context: payment-service_timeout
ServiceConfig   | failure.context: postgres-replica_timeout
ServiceConfig   | failure.context: redis-cache_timeout
ServiceConfig   | failure.context: subnet-private_timeout
ServiceConfig   | failure.context: user-service_degradation
ServiceConfig   | failure.context: user-service_failure
ServiceConfig   | failure.context: user-service_timeout
ServiceConfig   | failure.context: vpc-main_timeout
ServiceConfig   | failure.context: web-frontend_failure
ServiceConfig   | failure.context: worker-consumer_failure
CircuitBreaker  | failure_threshold: 5
LoadBalance     | health_check_interval: 10s
LoadBalance     | health_check_interval: 13s
LoadBalance     | health_check_interval: 14s
LoadBalance     | health_check_interval: 15s
LoadBalance     | health_check_interval: 16s
LoadBalance     | health_check_interval: 17s
LoadBalance     | health_check_interval: 18s
LoadBalance     | health_check_interval: 19s
LoadBalance     | health_check_interval: 20s
LoadBalance     | health_check_interval: 23s
LoadBalance     | health_check_interval: 26s
LoadBalance     | health_check_interval: 39s
LoadBalance     | health_check_interval: 3s
LoadBalance     | health_check_interval: 4s
LoadBalance     | health_check_interval: 5s
LoadBalance     | health_check_interval: 6s
LoadBalance     | health_check_interval: 7s
NetworkConfig   | keep_alive: enabled
Monitor         | log_level: info
Scale           | max_instances: 10
Retry           | max_retries: 3
ResourceLimit   | memory_limit: 128MB
ResourceLimit   | memory_limit: 192MB
ResourceLimit   | memory_limit: 1GB
ResourceLimit   | memory_limit: 256MB
ResourceLimit   | memory_limit: 2GB
ResourceLimit   | memory_limit: 3GB
ResourceLimit   | memory_limit: 512MB
ResourceLimit   | memory_limit: 768MB
Throttle        | memory_throttling: enabled
Monitor         | metrics: enabled
Scale           | min_instances: 2
NetworkConfig   | network_policy: allow_selected
ServiceConfig   | pattern.fingerprint: degradation_high_61f77c01
ServiceConfig   | pattern.fingerprint: degradation_low_00b2e23e
ServiceConfig   | pattern.fingerprint: degradation_low_0297328c
ServiceConfig   | pattern.fingerprint: degradation_low_042e2ebd
ServiceConfig   | pattern.fingerprint: degradation_low_0985f5cd
ServiceConfig   | pattern.fingerprint: degradation_low_0b7aaeab
ServiceConfig   | pattern.fingerprint: degradation_low_0de3d6cd
ServiceConfig   | pattern.fingerprint: degradation_low_1aebeb59
ServiceConfig   | pattern.fingerprint: degradation_low_3818e256
ServiceConfig   | pattern.fingerprint: degradation_low_3be514cd
ServiceConfig   | pattern.fingerprint: degradation_low_4b5e84f4
ServiceConfig   | pattern.fingerprint: degradation_low_60692d4d
ServiceConfig   | pattern.fingerprint: degradation_low_6858835e
ServiceConfig   | pattern.fingerprint: degradation_low_6eb39d16
ServiceConfig   | pattern.fingerprint: degradation_low_7082acda
ServiceConfig   | pattern.fingerprint: degradation_low_73745356
ServiceConfig   | pattern.fingerprint: degradation_low_78856871
ServiceConfig   | pattern.fingerprint: degradation_low_9d5670ae
ServiceConfig   | pattern.fingerprint: degradation_low_a7110078
ServiceConfig   | pattern.fingerprint: degradation_low_ad79d076
ServiceConfig   | pattern.fingerprint: degradation_low_b1347427
ServiceConfig   | pattern.fingerprint: degradation_low_be33fb33
ServiceConfig   | pattern.fingerprint: degradation_low_c282f812
ServiceConfig   | pattern.fingerprint: degradation_low_d0d7a87e
ServiceConfig   | pattern.fingerprint: degradation_low_d5ba7aa3
ServiceConfig   | pattern.fingerprint: degradation_low_d778e88c
ServiceConfig   | pattern.fingerprint: degradation_low_eb23a097
ServiceConfig   | pattern.fingerprint: degradation_low_f2785bcb
ServiceConfig   | pattern.fingerprint: degradation_low_f591cd31
ServiceConfig   | pattern.fingerprint: degradation_medium_7970e8f9
ServiceConfig   | pattern.fingerprint: failure_high_00e864a7
ServiceConfig   | pattern.fingerprint: failure_high_0115f8a4
ServiceConfig   | pattern.fingerprint: failure_high_0182571a
ServiceConfig   | pattern.fingerprint: failure_high_01898150
ServiceConfig   | pattern.fingerprint: failure_high_023c710c
ServiceConfig   | pattern.fingerprint: failure_high_02cdb68b
ServiceConfig   | pattern.fingerprint: failure_high_04494341
ServiceConfig   | pattern.fingerprint: failure_high_0494ed03
ServiceConfig   | pattern.fingerprint: failure_high_04d04dcd
ServiceConfig   | pattern.fingerprint: failure_high_052c9125
ServiceConfig   | pattern.fingerprint: failure_high_0597a81f
ServiceConfig   | pattern.fingerprint: failure_high_0599ce2c
ServiceConfig   | pattern.fingerprint: failure_high_06dde87a
ServiceConfig   | pattern.fingerprint: failure_high_074b8094
ServiceConfig   | pattern.fingerprint: failure_high_085857c8
ServiceConfig   | pattern.fingerprint: failure_high_08d7daab
ServiceConfig   | pattern.fingerprint: failure_high_09e3b5c1
ServiceConfig   | pattern.fingerprint: failure_high_0a4f5375
ServiceConfig   | pattern.fingerprint: failure_high_0a50143e
ServiceConfig   | pattern.fingerprint: failure_high_0a76e1b1
ServiceConfig   | pattern.fingerprint: failure_high_0b02bc10
ServiceConfig   | pattern.fingerprint: failure_high_0c1702ae
ServiceConfig   | pattern.fingerprint: failure_high_0c33e1d9
ServiceConfig   | pattern.fingerprint: failure_high_0cc3e065
ServiceConfig   | pattern.fingerprint: failure_high_0d35aee3
ServiceConfig   | pattern.fingerprint: failure_high_0d3cc0c7
ServiceConfig   | pattern.fingerprint: failure_high_0d6399ae
ServiceConfig   | pattern.fingerprint: failure_high_0d65c14f
ServiceConfig   | pattern.fingerprint: failure_high_0e5039f5
ServiceConfig   | pattern.fingerprint: failure_high_0ebd298f
ServiceConfig   | pattern.fingerprint: failure_high_0f9440f1
ServiceConfig   | pattern.fingerprint: failure_high_0fff692d
ServiceConfig   | pattern.fingerprint: failure_high_10159fff
ServiceConfig   | pattern.fingerprint: failure_high_10f251a9
ServiceConfig   | pattern.fingerprint: failure_high_1132fb82
ServiceConfig   | pattern.fingerprint: failure_high_12287f0a
ServiceConfig   | pattern.fingerprint: failure_high_12c03298
ServiceConfig   | pattern.fingerprint: failure_high_1312d9dd
ServiceConfig   | pattern.fingerprint: failure_high_132750cd
ServiceConfig   | pattern.fingerprint: failure_high_1447529e
ServiceConfig   | pattern.fingerprint: failure_high_15062daf
ServiceConfig   | pattern.fingerprint: failure_high_1590deae
ServiceConfig   | pattern.fingerprint: failure_high_16b73d5c
ServiceConfig   | pattern.fingerprint: failure_high_17ff10c4
ServiceConfig   | pattern.fingerprint: failure_high_1b517cb2
ServiceConfig   | pattern.fingerprint: failure_high_1c1b61b8
ServiceConfig   | pattern.fingerprint: failure_high_1c8dfb6f
ServiceConfig   | pattern.fingerprint: failure_high_1ca8c958
ServiceConfig   | pattern.fingerprint: failure_high_1cf9cb34
ServiceConfig   | pattern.fingerprint: failure_high_1d0b27c3
ServiceConfig   | pattern.fingerprint: failure_high_1d3c07aa
ServiceConfig   | pattern.fingerprint: failure_high_1d4186bd
ServiceConfig   | pattern.fingerprint: failure_high_1e0c5fc1
ServiceConfig   | pattern.fingerprint: failure_high_1e1e7744
ServiceConfig   | pattern.fingerprint: failure_high_1e482a2e
ServiceConfig   | pattern.fingerprint: failure_high_1e5763e7
ServiceConfig   | pattern.fingerprint: failure_high_1e9cc2d0
ServiceConfig   | pattern.fingerprint: failure_high_1eafb114
ServiceConfig   | pattern.fingerprint: failure_high_1f63aa68
ServiceConfig   | pattern.fingerprint: failure_high_1fef557e
ServiceConfig   | pattern.fingerprint: failure_high_20fa4c57
ServiceConfig   | pattern.fingerprint: failure_high_217591cc
ServiceConfig   | pattern.fingerprint: failure_high_21cf5b52
ServiceConfig   | pattern.fingerprint: failure_high_21e194b1
ServiceConfig   | pattern.fingerprint: failure_high_223506ba
ServiceConfig   | pattern.fingerprint: failure_high_22a2ba94
ServiceConfig   | pattern.fingerprint: failure_high_23733aca
ServiceConfig   | pattern.fingerprint: failure_high_23aa5e84
ServiceConfig   | pattern.fingerprint: failure_high_24f4a3b7
ServiceConfig   | pattern.fingerprint: failure_high_25805984
ServiceConfig   | pattern.fingerprint: failure_high_25968f5c
ServiceConfig   | pattern.fingerprint: failure_high_2629a457
ServiceConfig   | pattern.fingerprint: failure_high_26370174
ServiceConfig   | pattern.fingerprint: failure_high_264a559d
ServiceConfig   | pattern.fingerprint: failure_high_265a516e
ServiceConfig   | pattern.fingerprint: failure_high_2670c2b9
ServiceConfig   | pattern.fingerprint: failure_high_2768f533
ServiceConfig   | pattern.fingerprint: failure_high_2842f5e6
ServiceConfig   | pattern.fingerprint: failure_high_288fbb13
ServiceConfig   | pattern.fingerprint: failure_high_2acdc155
ServiceConfig   | pattern.fingerprint: failure_high_2ad7e6c0
ServiceConfig   | pattern.fingerprint: failure_high_2b60723f
ServiceConfig   | pattern.fingerprint: failure_high_2ba4cb25
ServiceConfig   | pattern.fingerprint: failure_high_2bb4d675
ServiceConfig   | pattern.fingerprint: failure_high_2dd33567
